tower_temperature,input_voltage,current_consumption,wind_speed,humidity,connected_users,data_traffic_gb,signal_strength,power_outages_24h,tower_age_years,active_antennas,backup_battery_charge,packet_error_rate,days_since_maintenance,tower_status,tower_type_3G,tower_type_4G,tower_type_5G
40.63,232.09,60.94,20.27,45.24,1879,177.53,-78.4,2,8,3,87.46,1.81,185,0,0,0,1
25.49,191.98,22.28,17.7,46.93,1037,387.86,-64.23,0,17,12,87.3,0.64,176,0,0,0,1
42.13,250.0,20.0,0.0,32.94,3101,471.05,-20.0,1,3,3,100.0,0.45,226,0,1,0,0
73.33,200.47,99.77,57.75,10.0,3500,470.59,-70.64,1,18,9,53.49,0.07,237,0,0,1,0
72.44,245.65,20.0,17.92,45.68,1160,371.4,-20.0,8,7,12,100.0,3.03,555,0,1,0,0
85.0,250.0,20.0,0.0,95.0,2653,358.6,-39.38,0,24,3,100.0,5.86,591,0,0,0,1
15.0,187.41,32.31,22.01,91.48,211,66.51,-20.0,0,1,9,31.93,4.4,281,0,1,0,0
15.0,206.8,20.0,23.66,49.39,897,123.68,-48.5,1,6,9,80.98,5.46,270,0,0,1,0
50.9,250.0,77.85,0.0,10.0,3281,48.86,-20.0,1,19,6,100.0,10.8,252,0,0,1,0
15.0,250.0,20.0,72.47,85.19,3500,329.82,-20.0,4,1,6,32.59,15.27,4,0,0,1,0
85.0,238.97,20.0,0.38,34.19,3500,108.85,-20.0,1,25,6,100.0,0.13,164,0,0,0,1
15.0,188.27,120.0,0.0,15.07,3500,299.13,-77.29,0,17,9,16.71,6.71,110,0,0,1,0
64.5,235.09,20.0,0.0,43.12,2284,88.87,-47.64,1,3,3,92.74,3.61,39,0,0,1,0
26.92,200.32,20.0,3.06,38.65,3500,298.35,-20.0,1,21,12,52.9,5.0,282,0,1,0,0
40.95,180.0,20.0,0.0,31.51,708,134.29,-100.21,0,4,12,56.84,0.85,173,0,0,1,0
62.86,250.0,20.0,0.0,14.87,2236,500.0,-26.18,0,11,3,97.09,1.73,247,0,0,1,0
15.0,233.58,52.53,90.69,68.01,3500,173.29,-41.39,6,25,3,0.0,10.89,40,0,0,0,1
19.25,180.0,32.82,37.9,80.35,3500,238.88,-33.32,1,7,12,15.79,2.76,121,0,0,1,0
15.0,201.38,120.0,0.0,21.88,456,108.03,-103.6,4,13,9,39.03,3.97,223,0,0,1,0
85.0,250.0,20.0,12.56,47.7,716,36.99,-21.74,1,10,12,100.0,1.55,544,0,0,0,1
85.0,180.0,77.52,0.0,79.96,2047,41.28,-38.25,6,4,6,61.05,10.21,9,0,0,0,1
15.0,225.22,20.0,48.99,91.21,3219,164.48,-20.0,0,15,6,56.9,6.46,143,0,0,1,0
85.0,180.0,20.0,34.46,10.0,3500,467.15,-20.0,2,25,4,40.28,13.25,143,1,0,1,0
39.58,220.93,68.27,0.0,81.86,2759,57.38,-52.36,8,18,1,78.48,4.63,38,1,0,1,0
28.54,226.34,20.0,35.51,62.86,2800,500.0,-20.0,1,20,3,100.0,3.68,170,0,0,0,1
49.06,245.93,20.0,0.0,43.51,1337,499.35,-77.66,0,2,12,100.0,2.95,4,0,0,0,1
61.87,186.77,20.0,0.0,59.66,325,216.88,-50.57,4,25,9,100.0,2.43,359,0,0,1,0
15.0,230.81,20.0,42.47,46.36,1705,314.85,-20.0,2,2,12,93.02,5.93,3,0,0,1,0
17.47,197.39,120.0,0.0,41.94,908,256.32,-20.61,2,23,3,24.61,7.35,138,0,0,1,0
55.58,250.0,20.0,30.01,95.0,3500,476.19,-20.0,2,25,6,28.16,13.85,390,0,1,0,0
15.0,250.0,114.3,94.78,32.37,370,308.75,-20.0,0,7,6,77.89,9.17,188,0,0,1,0
29.01,250.0,102.2,53.04,70.21,1797,500.0,-39.9,7,25,6,54.38,1.06,306,0,0,0,1
15.0,180.08,23.83,89.19,55.41,1501,189.32,-28.93,0,0,12,48.07,5.82,102,0,0,0,1
70.58,250.0,20.0,0.0,48.16,962,328.29,-20.0,0,19,6,71.67,3.22,708,0,0,1,0
15.0,180.0,57.14,0.0,93.02,3500,334.06,-110.0,5,4,3,100.0,6.78,71,0,1,0,0
48.26,250.0,120.0,36.6,40.93,968,58.57,-38.75,5,11,6,100.0,8.46,70,0,1,0,0
15.0,242.53,120.0,41.63,48.06,2580,60.42,-33.34,4,3,12,64.98,5.3,260,0,0,1,0
79.93,249.92,20.0,0.0,63.64,2350,175.36,-20.0,2,2,9,100.0,0.31,380,0,0,0,1
85.0,208.13,20.0,0.0,10.0,1555,231.41,-20.0,2,25,3,100.0,6.01,104,0,1,0,0
15.0,218.13,120.0,33.35,77.27,1792,255.39,-65.77,2,12,3,42.94,5.61,35,0,0,1,0
41.82,250.0,20.0,42.25,61.78,1239,90.82,-24.39,1,9,9,100.0,10.75,463,0,0,1,0
15.0,213.32,55.97,79.21,65.96,123,90.64,-20.0,2,24,6,61.09,0.32,115,0,0,1,0
21.19,195.3,32.87,0.0,19.43,2479,371.81,-47.01,2,4,12,69.84,1.78,382,0,0,0,1
29.35,197.93,34.6,36.55,63.55,3500,156.26,-36.45,4,25,6,46.8,1.71,5,0,0,1,0
69.07,227.99,93.28,0.0,51.27,3500,500.0,-41.73,2,25,6,90.83,11.14,90,0,0,0,1
29.98,192.47,120.0,0.0,50.8,67,408.91,-110.0,15,25,9,100.0,2.06,112,0,0,1,0
15.0,186.2,32.54,24.27,95.0,3102,500.0,-20.0,4,15,9,40.63,16.75,250,0,0,1,0
39.02,203.62,120.0,0.0,65.5,1144,500.0,-56.98,6,18,9,26.22,6.22,365,0,0,1,0
15.0,180.0,49.26,0.0,83.73,2190,264.73,-81.1,4,3,9,57.51,3.77,174,0,1,0,0
85.0,230.03,20.0,0.0,66.69,2324,36.47,-20.0,5,13,9,82.09,6.73,662,0,1,0,0
39.03,250.0,60.79,28.78,75.02,2327,500.0,-21.84,6,18,6,75.54,4.23,66,0,1,0,0
15.0,188.78,120.0,0.0,44.26,3500,131.34,-35.88,1,0,3,13.83,6.41,279,0,0,1,0
15.0,250.0,86.64,22.2,66.57,2863,186.59,-28.85,2,6,12,80.18,7.8,315,0,0,1,0
39.02,236.08,120.0,0.0,69.36,3500,49.63,-20.0,2,25,9,94.5,6.65,16,0,0,1,0
41.54,236.65,20.0,0.0,13.17,666,168.69,-20.0,4,2,12,100.0,3.87,466,0,1,0,0
15.0,199.0,94.01,0.0,62.76,152,89.45,-78.64,3,18,12,52.04,0.6,168,0,0,1,0
73.92,191.83,42.44,56.78,61.25,3500,500.0,-68.59,3,25,9,49.41,10.24,32,0,0,0,1
54.11,225.62,120.0,0.0,29.21,3500,466.03,-95.56,5,10,9,10.63,5.91,15,0,0,0,1
25.86,180.0,80.19,0.0,74.17,3313,217.41,-63.86,0,7,6,90.83,5.48,37,0,0,1,0
15.0,210.93,120.0,58.09,59.04,2165,271.18,-48.9,5,25,12,31.54,4.5,299,0,1,0,0
15.0,227.4,20.0,84.64,43.13,3356,377.4,-37.84,0,17,6,73.6,9.03,166,0,0,0,1
25.76,200.37,120.0,23.82,66.18,1388,327.15,-110.0,4,19,12,35.45,3.33,166,0,0,1,0
54.06,180.0,20.0,0.0,10.0,520,270.47,-47.63,4,7,9,100.0,4.0,153,0,0,1,0
15.0,202.9,22.05,120.0,44.18,2855,379.64,-20.0,0,12,6,22.9,3.5,272,0,0,0,1
31.74,238.0,98.67,1.09,62.8,3001,201.69,-24.37,2,16,12,93.15,0.42,118,0,0,1,0
42.32,200.13,20.0,0.0,10.0,745,301.49,-59.93,3,12,3,90.33,5.93,182,0,0,1,0
63.37,240.38,95.21,65.23,44.68,3126,53.49,-20.0,5,1,12,85.99,8.4,325,0,0,1,0
73.77,204.05,81.19,0.0,49.97,967,75.13,-69.92,4,8,0,70.07,2.5,169,1,0,1,0
15.0,180.0,20.0,0.0,52.31,2895,111.11,-71.58,4,3,9,100.0,6.84,126,0,0,1,0
72.8,215.5,32.2,0.0,41.71,1994,73.51,-67.66,3,1,12,100.0,4.67,285,0,0,1,0
85.0,180.0,120.0,0.0,34.56,1575,500.0,-84.88,6,1,6,59.21,1.05,75,0,0,0,1
15.0,250.0,20.0,24.43,44.19,3,500.0,-20.24,3,8,6,100.0,3.99,55,0,0,1,0
15.0,193.35,36.43,17.58,95.0,1932,269.28,-37.4,1,1,6,61.43,12.43,104,0,0,1,0
34.44,185.24,20.0,0.0,10.0,438,95.41,-53.83,0,5,9,91.0,5.53,19,0,0,0,1
37.06,186.3,62.89,0.0,48.59,1645,227.5,-75.5,1,9,6,78.0,1.43,6,0,1,0,0
15.0,250.0,20.0,29.69,68.55,1864,138.11,-31.98,1,2,12,94.79,8.95,447,0,0,1,0
15.0,250.0,69.17,32.3,41.92,1193,306.22,-42.44,9,6,6,73.73,7.66,234,0,0,1,0
51.14,191.32,120.0,27.62,41.96,3500,265.45,-110.0,6,0,12,56.2,1.63,269,0,0,1,0
15.0,208.15,74.55,82.31,55.63,211,167.42,-48.32,1,6,12,51.03,8.17,239,0,0,1,0
15.0,250.0,20.0,54.49,31.6,1011,500.0,-30.84,4,7,6,86.55,5.28,82,0,0,1,0
15.0,207.41,120.0,67.35,92.28,2488,5.0,-50.88,0,25,9,51.1,0.98,79,0,0,1,0
15.0,180.0,20.0,91.95,32.21,3500,91.06,-56.41,0,4,12,18.23,8.14,269,0,0,0,1
15.0,201.96,48.89,68.59,94.59,2264,398.86,-64.34,0,25,3,90.26,3.56,81,0,0,1,0
41.34,242.54,20.0,65.03,48.24,1317,100.9,-68.17,1,4,9,90.46,0.55,282,0,0,0,1
64.78,226.33,20.0,53.91,70.01,420,475.51,-110.0,8,1,2,93.61,13.11,181,1,0,0,1
30.58,192.27,120.0,15.73,14.72,2929,358.2,-74.55,0,25,9,73.47,4.08,10,0,0,0,1
65.88,212.4,94.31,14.39,13.5,3500,500.0,-53.72,9,25,6,39.41,13.89,6,0,0,1,0
29.79,250.0,21.81,39.44,54.3,196,436.27,-62.28,5,5,9,94.07,5.93,373,0,0,0,1
15.0,209.47,62.99,0.0,95.0,1909,32.67,-56.56,2,7,9,95.78,8.19,205,0,0,0,1
41.85,245.87,51.69,21.56,45.34,2168,353.88,-58.52,2,6,12,42.35,5.85,409,0,0,0,1
15.0,229.3,49.37,41.08,31.23,730,179.98,-45.45,2,3,3,58.39,4.51,39,0,1,0,0
20.37,185.81,120.0,52.65,54.84,2620,467.21,-100.92,2,6,3,51.59,3.42,69,0,1,0,0
15.0,250.0,20.0,33.39,95.0,3500,487.22,-69.59,3,11,6,80.76,9.12,23,0,0,1,0
15.0,223.49,120.0,0.0,62.65,3500,476.83,-110.0,3,4,6,52.38,7.69,220,0,0,0,1
17.33,209.82,120.0,0.0,42.57,3061,500.0,-32.7,1,1,9,68.4,2.55,164,0,0,0,1
68.08,193.68,114.53,23.65,36.91,1194,16.05,-20.0,5,5,12,58.88,8.64,132,0,0,1,0
71.47,194.92,99.35,0.0,89.72,2500,359.6,-90.27,4,15,6,80.4,0.78,21,0,0,1,0
67.49,213.87,78.59,0.0,49.86,1331,14.3,-34.33,2,14,9,100.0,4.13,163,0,0,1,0
67.88,202.2,114.42,107.57,67.04,3500,10.17,-20.0,5,10,9,46.42,6.78,97,0,1,0,0
76.1,192.86,20.0,26.56,81.43,3500,500.0,-33.92,1,25,9,29.56,10.33,101,0,0,0,1
15.0,230.8,20.0,11.73,73.57,3500,156.91,-20.0,8,5,9,77.52,12.96,22,0,0,1,0
81.82,218.17,39.42,15.83,95.0,1134,341.04,-80.49,1,2,6,84.0,5.64,287,0,1,0,0
15.0,250.0,120.0,96.0,80.3,3500,147.93,-86.39,4,25,9,50.62,0.33,320,0,1,0,0
15.0,248.47,74.55,52.48,45.01,1382,111.13,-59.84,4,1,12,75.2,7.88,413,0,0,0,1
44.58,222.37,120.0,37.64,58.32,1917,377.2,-97.57,0,1,6,32.42,1.69,73,0,0,0,1
79.67,250.0,20.0,45.06,47.76,3500,500.0,-21.26,6,12,9,54.95,0.1,155,0,0,1,0
40.38,227.43,40.75,0.0,63.81,1263,368.53,-77.59,6,23,6,100.0,4.12,145,0,0,1,0
54.22,192.99,33.74,0.0,95.0,3500,335.79,-56.94,3,25,6,42.87,1.77,182,0,1,0,0
17.67,220.98,120.0,0.0,22.92,1110,220.55,-110.0,6,11,6,31.89,1.74,120,0,1,0,0
36.42,213.1,20.0,0.0,68.93,3500,79.99,-56.78,0,1,9,100.0,6.03,576,0,1,0,0
37.13,226.47,120.0,106.71,35.35,3500,179.21,-20.0,9,24,9,30.0,6.29,226,0,1,0,0
17.28,221.31,93.8,63.25,77.46,484,500.0,-30.0,0,17,12,36.55,7.83,163,0,1,0,0
33.78,212.32,20.0,69.72,64.15,3500,68.02,-20.0,1,3,3,55.02,5.77,120,0,0,1,0
76.29,225.13,89.47,0.0,68.37,2405,433.58,-49.14,4,20,12,78.56,9.99,449,0,0,1,0
20.67,200.04,28.93,23.46,73.73,3500,500.0,-34.17,1,20,6,13.78,14.33,286,0,1,0,0
36.66,234.09,20.0,0.0,10.0,1970,139.13,-65.83,5,2,11,100.0,3.08,16,1,0,1,0
15.0,227.97,33.28,0.0,44.23,3500,44.4,-20.0,1,10,12,100.0,7.1,355,0,1,0,0
40.36,180.0,95.56,23.72,71.32,3500,500.0,-84.8,1,1,6,39.9,7.73,162,0,1,0,0
41.38,250.0,103.55,101.52,79.23,3500,98.78,-110.0,1,8,3,84.81,0.33,588,0,1,0,0
38.71,250.0,120.0,50.46,10.6,3191,216.36,-69.46,1,18,3,71.54,0.27,288,0,0,1,0
43.38,250.0,52.92,21.75,81.06,3500,121.67,-40.92,0,7,9,100.0,0.63,458,0,0,0,1
37.46,188.84,34.8,0.0,18.07,3500,222.32,-45.8,1,25,9,85.7,4.58,335,0,0,1,0
15.0,216.74,20.0,26.42,91.97,1059,179.73,-86.56,5,25,12,100.0,7.06,242,0,0,0,1
42.65,245.83,83.2,0.0,21.9,1502,230.66,-20.0,0,1,6,100.0,5.47,79,0,0,0,1
25.45,212.35,50.86,22.58,19.91,760,248.85,-69.92,0,2,9,63.01,1.27,245,0,0,0,1
42.23,250.0,105.28,40.85,41.84,1192,500.0,-80.74,1,25,9,89.44,0.49,48,0,0,1,0
15.0,250.0,61.12,75.41,78.15,1094,30.81,-20.0,6,0,9,61.73,9.65,491,0,0,0,1
68.72,206.82,45.31,0.0,11.73,58,375.94,-20.0,1,18,3,91.92,8.04,330,0,0,1,0
22.93,250.0,39.84,40.97,46.64,3500,500.0,-20.0,5,11,12,62.17,2.87,213,0,0,1,0
85.0,229.19,120.0,92.71,37.4,3500,500.0,-76.0,2,21,3,35.13,1.59,63,0,0,0,1
61.52,244.37,23.62,0.0,50.05,3500,151.59,-20.0,1,18,3,7.82,15.17,253,1,0,1,0
15.0,204.21,120.0,0.0,10.0,781,480.25,-68.02,0,25,12,34.74,7.04,332,0,0,0,1
61.56,250.0,20.0,0.0,64.65,1746,209.27,-31.73,3,3,12,80.37,2.81,383,0,0,0,1
36.19,206.27,39.09,22.02,90.3,3500,68.5,-53.29,5,24,12,38.23,9.7,187,0,0,1,0
15.0,241.96,64.23,48.31,32.42,285,211.44,-20.0,1,11,9,65.0,4.34,192,0,1,0,0
24.58,248.56,120.0,0.0,48.34,3500,310.54,-103.77,3,25,9,69.91,2.26,57,0,0,1,0
36.56,230.69,120.0,34.25,23.8,531,328.69,-20.0,4,6,12,50.31,4.89,94,0,0,1,0
27.54,214.98,20.0,32.11,95.0,3500,108.12,-34.15,2,1,6,34.65,10.45,107,0,0,1,0
85.0,206.4,120.0,0.0,19.46,900,42.03,-80.03,9,21,0,52.29,3.98,210,1,0,0,1
26.77,209.4,53.85,0.0,25.09,1436,63.27,-96.23,3,7,6,90.17,0.98,283,0,0,1,0
15.0,180.0,115.02,35.02,54.82,3099,251.34,-84.01,0,7,6,58.48,2.8,44,0,0,0,1
15.0,192.66,48.93,89.38,80.02,1888,64.28,-20.0,2,9,6,35.39,6.74,2,0,0,0,1
39.85,216.29,20.0,0.0,35.63,3500,111.58,-20.0,1,9,12,100.0,8.45,5,0,0,1,0
85.0,230.76,49.59,0.0,95.0,1726,266.85,-20.0,3,0,6,100.0,0.52,305,0,0,0,1
44.85,180.0,30.75,76.46,47.21,3500,99.45,-22.76,4,6,9,34.53,0.01,27,0,0,1,0
54.92,180.0,99.82,83.52,95.0,3500,451.96,-20.0,4,6,6,20.29,1.27,266,0,0,1,0
15.0,190.42,41.38,0.0,36.04,1505,165.7,-65.96,4,16,6,88.81,7.78,299,0,0,0,1
28.92,199.83,120.0,0.0,10.0,955,97.95,-110.0,6,22,9,29.77,0.19,71,0,0,0,1
15.0,230.45,20.0,5.32,26.72,1313,451.6,-74.91,0,21,7,63.2,6.55,71,1,0,1,0
58.53,250.0,103.46,80.76,31.1,1253,500.0,-51.84,1,20,12,64.68,2.33,76,0,1,0,0
15.03,240.64,120.0,87.38,82.38,2708,64.34,-20.0,6,25,12,1.9,4.53,44,0,0,0,1
85.0,217.86,48.89,0.0,32.18,3424,337.18,-61.87,1,25,6,93.52,8.48,1,0,0,0,1
15.0,230.95,120.0,1.11,59.36,1246,500.0,-99.16,1,21,3,70.24,4.03,47,0,0,1,0
15.0,220.18,120.0,36.65,33.9,668,217.16,-49.79,5,20,12,36.44,8.58,73,0,0,0,1
15.0,220.22,20.0,0.0,36.12,482,80.85,-20.0,4,13,6,83.11,9.94,320,0,0,1,0
15.0,187.36,120.0,113.75,34.04,3500,297.49,-82.77,2,2,9,68.51,4.02,288,0,0,1,0
15.0,250.0,120.0,85.62,22.29,409,249.51,-41.35,2,0,6,26.93,11.92,335,0,0,1,0
15.0,245.52,20.0,37.79,75.11,817,337.01,-20.0,3,4,3,91.17,8.19,282,0,0,0,1
51.72,202.14,20.0,18.99,59.34,361,500.0,-20.0,2,18,3,100.0,0.18,473,0,0,1,0
64.04,222.41,120.0,0.0,12.55,2773,425.94,-110.0,11,19,9,54.54,4.37,107,0,1,0,0
15.0,242.49,20.0,6.86,10.0,3500,59.39,-20.0,4,3,3,41.72,17.42,122,0,1,0,0
68.27,203.14,20.0,0.0,39.67,359,116.47,-20.0,1,19,6,81.23,11.56,4,0,0,1,0
85.0,180.0,20.0,0.0,61.63,3500,370.54,-26.94,4,16,6,88.85,4.87,121,0,0,0,1
30.15,248.1,120.0,0.0,56.99,3500,500.0,-77.97,1,25,6,100.0,14.11,162,0,0,1,0
50.63,199.86,120.0,0.0,16.83,3500,315.59,-79.19,9,4,4,53.85,23.81,154,1,1,0,0
15.0,196.13,120.0,0.0,10.0,2155,38.8,-101.42,4,9,3,46.31,1.65,110,0,0,1,0
45.13,250.0,20.0,27.43,25.7,674,500.0,-20.0,4,9,3,100.0,2.54,297,0,0,1,0
73.15,250.0,120.0,21.33,52.7,663,421.56,-101.11,0,22,10,51.74,4.77,282,1,1,0,0
34.3,250.0,20.0,120.0,71.79,2608,212.33,-92.32,1,1,3,60.89,3.59,314,0,0,1,0
15.0,223.85,108.02,55.88,95.0,3500,350.32,-74.93,1,19,9,95.74,2.75,318,0,0,0,1
85.0,180.0,20.0,114.56,19.54,3500,114.9,-43.31,0,1,4,23.46,20.49,84,1,1,0,0
72.56,250.0,44.16,8.59,12.65,502,41.02,-20.0,0,22,3,71.07,0.43,66,0,0,1,0
52.3,239.59,104.14,28.21,95.0,2149,118.08,-73.92,5,0,5,67.59,2.83,423,1,1,0,0
15.0,191.43,120.0,22.45,10.0,2416,500.0,-110.0,2,6,6,38.38,3.14,159,0,0,1,0
59.17,188.82,20.0,0.0,31.32,3500,308.39,-20.0,2,25,6,93.29,18.82,157,0,1,0,0
15.0,231.7,56.74,13.14,95.0,611,190.79,-27.16,2,11,3,62.34,10.09,305,0,0,1,0
83.13,202.41,71.19,55.78,41.38,2968,317.07,-20.0,6,11,9,85.34,4.56,45,0,0,1,0
15.0,200.73,120.0,34.29,69.78,3500,164.57,-49.1,4,24,6,46.27,15.76,103,0,0,1,0
15.0,216.38,36.16,0.0,94.79,3500,202.54,-44.3,4,25,3,0.0,11.04,345,0,1,0,0
52.23,185.9,120.0,0.0,10.0,1298,98.62,-109.27,1,19,12,94.38,6.11,95,0,0,1,0
22.16,222.27,20.0,0.0,95.0,2978,195.34,-20.0,1,5,6,100.0,0.21,187,0,0,1,0
16.55,214.38,20.0,76.39,74.0,2068,150.89,-20.0,2,10,3,56.33,5.02,196,0,0,0,1
50.46,200.12,120.0,0.0,65.03,826,228.76,-27.45,4,1,12,54.87,3.29,180,0,0,0,1
85.0,250.0,101.8,5.7,76.46,898,260.44,-20.0,12,25,7,60.6,21.85,599,1,0,1,0
15.0,218.43,120.0,79.08,65.17,1333,5.15,-20.0,8,25,5,14.02,7.89,97,1,0,1,0
15.0,215.85,20.0,0.0,40.32,2540,86.71,-20.0,4,0,9,82.65,6.3,49,0,1,0,0
67.84,180.0,98.29,13.87,95.0,3494,207.35,-110.0,5,17,1,55.14,14.93,170,1,0,0,1
80.34,219.36,35.7,0.0,30.16,1318,311.29,-20.0,1,25,12,100.0,11.33,111,0,0,0,1
34.0,250.0,52.47,0.0,20.9,1141,375.95,-20.0,2,13,6,82.84,3.4,96,0,0,0,1
67.89,203.0,20.0,0.0,33.65,3500,334.49,-20.0,0,25,9,72.01,4.65,95,0,0,0,1
82.19,250.0,120.0,50.11,25.98,1724,62.35,-28.31,9,0,12,68.37,3.4,289,0,0,0,1
30.83,180.0,69.64,0.0,10.0,3500,221.95,-85.79,1,1,6,33.99,3.71,102,0,0,0,1
49.93,250.0,120.0,51.57,10.0,2756,500.0,-71.65,1,25,12,93.47,7.0,17,0,0,0,1
15.0,236.77,20.0,80.72,83.65,3500,239.14,-20.0,3,9,3,40.99,8.35,110,0,0,1,0
15.0,180.0,20.0,0.0,54.26,2188,14.6,-57.36,3,15,6,45.03,3.77,166,0,1,0,0
71.06,200.37,20.0,0.0,10.0,1077,215.02,-36.5,1,16,6,100.0,2.05,136,0,0,1,0
70.56,180.0,90.04,0.0,45.36,3500,475.01,-98.5,4,20,3,62.03,4.12,126,0,0,0,1
42.86,245.78,120.0,0.0,72.5,1113,67.46,-102.55,2,25,9,39.21,5.95,67,0,0,1,0
74.76,213.48,98.56,0.0,44.25,3500,500.0,-76.96,4,25,6,75.83,13.35,268,0,0,0,1
85.0,218.44,20.0,0.0,72.13,2111,445.13,-106.26,3,11,10,88.02,4.02,171,1,0,0,1
41.05,249.55,20.0,0.0,64.21,1764,300.19,-20.0,7,25,8,74.69,13.38,86,1,0,1,0
15.0,187.45,50.12,120.0,33.42,2479,249.19,-20.0,0,1,9,17.15,7.15,97,0,0,0,1
59.41,192.04,116.19,5.95,76.03,3500,9.21,-48.77,14,18,5,17.88,14.07,184,1,1,0,0
17.45,224.97,120.0,26.82,18.87,3266,500.0,-73.6,6,25,3,83.45,15.12,403,0,0,1,0
34.38,250.0,120.0,19.05,79.29,2017,113.9,-66.83,1,25,9,66.39,1.86,58,0,0,1,0
30.66,183.02,20.0,0.0,78.29,3500,141.5,-35.4,0,12,9,53.6,9.24,140,0,0,0,1
68.27,250.0,28.56,61.34,21.33,3500,500.0,-43.58,1,8,12,66.91,2.72,265,0,0,0,1
15.0,180.51,115.39,0.0,18.8,3500,500.0,-89.83,4,4,12,100.0,7.23,195,0,0,0,1
18.24,248.77,120.0,46.85,67.28,2422,76.8,-26.08,3,24,9,52.39,2.81,156,0,0,1,0
85.0,198.59,40.77,0.0,57.3,3500,500.0,-28.55,9,1,0,68.39,23.85,94,1,0,1,0
64.27,180.0,33.49,0.0,43.64,1884,500.0,-91.51,1,16,12,77.88,2.97,450,0,0,1,0
15.0,220.05,111.57,0.0,18.74,1284,39.51,-20.0,3,18,6,42.17,4.51,148,0,0,1,0
69.83,250.0,20.0,0.0,10.35,1214,34.31,-20.0,1,6,9,98.23,2.62,203,0,0,0,1
22.61,225.21,120.0,19.03,63.93,873,500.0,-43.77,8,25,6,44.24,2.63,382,1,0,1,0
37.73,180.0,20.0,0.0,48.74,684,85.68,-86.12,2,1,9,100.0,3.25,7,0,0,1,0
85.0,237.73,20.0,0.0,57.72,3500,97.64,-20.0,2,23,6,100.0,7.29,176,0,0,1,0
15.0,229.92,70.61,83.29,41.03,2522,34.77,-20.0,1,0,12,71.73,2.52,321,0,0,0,1
71.4,211.4,20.0,0.0,26.94,901,299.04,-47.4,5,16,3,100.0,3.92,398,0,0,1,0
85.0,250.0,120.0,5.75,58.56,3500,287.9,-110.0,5,25,6,0.0,24.54,250,1,1,0,0
15.0,180.0,64.35,88.38,32.91,2801,500.0,-101.11,4,10,3,70.78,11.53,197,0,0,1,0
15.15,250.0,111.46,69.87,13.35,1232,274.54,-37.55,3,20,9,59.85,2.46,193,0,1,0,0
67.95,180.0,20.0,0.0,31.46,3006,445.65,-20.0,1,2,9,90.57,0.55,85,0,1,0,0
15.0,218.04,20.0,55.58,72.98,104,216.06,-65.26,0,10,9,90.59,0.47,32,0,0,1,0
79.47,225.34,20.0,0.0,52.39,2210,486.71,-40.86,0,25,6,100.0,7.34,176,0,1,0,0
15.0,205.81,20.0,47.6,41.51,1450,74.26,-35.03,9,9,9,60.97,0.02,37,0,0,1,0
